tokenizer,format,distribution,dim,precision_digits,n_vectors,n_tokens_total,length_mismatch_rate,mean_abs_error,median_abs_error,mean_rel_error,median_rel_error,mean_sig_digits,perfect_recovery_rate,mean_normalized_l2,mean_cosine_sim,mean_spearman_rho,mantel_r,mantel_p
gpt4o,natural_language,uniform,1,,250,3003,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,digit_by_digit,uniform,1,,250,8068,1.0,44.7596952205571,44.96455198530271,0.8488077753670177,0.909418925774597,0.056,0.0,0.8488077753670177,,,,
python_str,csv,uniform,1,,250,4284,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,json,uniform,1,,250,4784,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,scientific,uniform,1,,250,3000,0.0,2.1410383040452175e-06,2.0040627717321513e-06,5.939646299681159e-08,4.0704064878093486e-08,6.968,0.0,5.939646299681159e-08,,,,
python_str,natural_language,uniform,1,,250,7784,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,digit_by_digit,uniform,1,,250,8318,1.0,44.7596952205571,44.96455198530271,0.8488077753670177,0.909418925774597,0.056,0.0,0.8488077753670177,,,,
float16,native,uniform,1,2.0,250,0,0.0,0.008947187499999686,0.006562500000001137,0.00018593252593359467,0.00018672726948149216,3.556,0.024,0.00018593252593359467,,,,
llama3,csv,uniform,1,2.0,250,750,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,json,uniform,1,2.0,250,1250,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,scientific,uniform,1,2.0,250,1750,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,natural_language,uniform,1,2.0,250,2000,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,digit_by_digit,uniform,1,2.0,250,1906,1.0,44.759800000000006,44.965,0.8487845734780047,0.9094202382454675,0.108,0.004,0.8487845734780047,,,,
mistral,csv,uniform,1,2.0,250,1453,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,json,uniform,1,2.0,250,1703,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,scientific,uniform,1,2.0,250,3250,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,natural_language,uniform,1,2.0,250,2453,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,digit_by_digit,uniform,1,2.0,250,2156,1.0,44.759800000000006,44.965,0.8487845734780047,0.9094202382454675,0.108,0.004,0.8487845734780047,,,,
gpt4o,csv,uniform,1,2.0,250,750,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,json,uniform,1,2.0,250,1250,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,scientific,uniform,1,2.0,250,1750,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,natural_language,uniform,1,2.0,250,2000,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,digit_by_digit,uniform,1,2.0,250,1906,1.0,44.759800000000006,44.965,0.8487845734780047,0.9094202382454675,0.108,0.004,0.8487845734780047,,,,
python_str,csv,uniform,1,2.0,250,1203,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,json,uniform,1,2.0,250,1703,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,scientific,uniform,1,2.0,250,3000,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,natural_language,uniform,1,2.0,250,4703,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,digit_by_digit,uniform,1,2.0,250,2156,1.0,44.759800000000006,44.965,0.8487845734780047,0.9094202382454675,0.108,0.004,0.8487845734780047,,,,
float16,native,uniform,1,4.0,250,0,0.0,0.008907249999999988,0.006762500000000671,0.00018396387632040382,0.00017803362567384804,3.312,0.0,0.00018396387632040382,,,,
llama3,csv,uniform,1,4.0,250,978,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,json,uniform,1,4.0,250,1478,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,scientific,uniform,1,4.0,250,1750,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,natural_language,uniform,1,4.0,250,2228,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,digit_by_digit,uniform,1,4.0,250,2914,1.0,44.7596948,44.96455,0.8488077664890797,0.9094189444755449,0.056,0.0,0.8488077664890797,,,,
mistral,csv,uniform,1,4.0,250,1957,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,json,uniform,1,4.0,250,2207,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,scientific,uniform,1,4.0,250,3250,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,natural_language,uniform,1,4.0,250,2957,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,digit_by_digit,uniform,1,4.0,250,3164,1.0,44.7596948,44.96455,0.8488077664890797,0.9094189444755449,0.056,0.0,0.8488077664890797,,,,
gpt4o,csv,uniform,1,4.0,250,978,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,json,uniform,1,4.0,250,1478,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,scientific,uniform,1,4.0,250,1750,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,natural_language,uniform,1,4.0,250,2228,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,digit_by_digit,uniform,1,4.0,250,2914,1.0,44.7596948,44.96455,0.8488077664890797,0.9094189444755449,0.056,0.0,0.8488077664890797,,,,
python_str,csv,uniform,1,4.0,250,1707,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,json,uniform,1,4.0,250,2207,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,scientific,uniform,1,4.0,250,3000,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,natural_language,uniform,1,4.0,250,5207,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,digit_by_digit,uniform,1,4.0,250,3164,1.0,44.7596948,44.96455,0.8488077664890797,0.9094189444755449,0.056,0.0,0.8488077664890797,,,,
float16,native,uniform,1,8.0,250,0,0.0,0.008908356750000236,0.006781840000000372,0.00018392726708719396,0.0001784066772350645,3.312,0.0,0.00018392726708719396,,,,
llama3,csv,uniform,1,8.0,250,1246,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,json,uniform,1,8.0,250,1746,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,scientific,uniform,1,8.0,250,1750,0.0,2.1412800000564226e-06,2.0050000024696146e-06,5.9378853133788247e-08,4.069094176979631e-08,6.964,0.0,5.9378853133788247e-08,,,,
llama3,natural_language,uniform,1,8.0,250,2496,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,digit_by_digit,uniform,1,8.0,250,4896,1.0,44.75969522056001,44.964551990000004,0.8488077753768601,0.9094189257752421,0.056,0.0,0.8488077753768601,,,,
